cluster_id,sid,reason
11,KM261927.1,manual conflict resolution
11,MT649010.1,manual conflict resolution
61,LC806211.1,manual conflict resolution
85,LC806209.1,manual conflict resolution
85,LQ826731.1,manual conflict resolution
87,GQ436060.1,manual conflict resolution
87,JN114991.1,manual conflict resolution
46,KR738605.1,manual conflict resolution
46,KR738145.1,manual conflict resolution
3,MT241522.1,manual conflict resolution
40,KR376290.1,manual conflict resolution
40,KR376293.1,manual conflict resolution
40,KR376295.1,manual conflict resolution
45,KJ161809.1,manual conflict resolution
48,KF954535.1,manual conflict resolution
48,KR735584.1,manual conflict resolution
48,MF143649.1,manual conflict resolution
54,OK112609.1,manual conflict resolution
54,OK112611.1,manual conflict resolution
54,OK112613.1,manual conflict resolution
60,AY875284.1,manual conflict resolution
62,KR376413.1,manual conflict resolution
63,MH768006.1,manual conflict resolution
63,MH768008.1,manual conflict resolution
64,MH767707.1,manual conflict resolution
64,MH767709.1,manual conflict resolution
85,KR376237.1,manual conflict resolution
86,KR376182.1,manual conflict resolution
61,KR376467.1,manual conflict resolution
61,KR376468.1,manual conflict resolution
62,KR376412.1,manual conflict resolution
62,KR376417.1,manual conflict resolution
62,KR376418.1,manual conflict resolution
54,OK112610.1,manual conflict resolution
54,OK112612.1,manual conflict resolution
6,JF508757.1,manual conflict resolution
14,JF508609.1,manual conflict resolution
17,HQ241701.1,manual conflict resolution
20,HQ621121.1,manual conflict resolution
28,HQ241647.1,manual conflict resolution
29,JF508675.1,manual conflict resolution
39,KJ773783.1,manual conflict resolution
9,KM051437.1,manual conflict resolution
20,HQ621127.1,manual conflict resolution
25,DQ855850.1,manual conflict resolution
39,HM850279.1,manual conflict resolution
6,JF508812.1,manual conflict resolution
9,KY968836.1,manual conflict resolution
14,JF508654.1,manual conflict resolution
17,HQ241711.1,manual conflict resolution
20,HQ621128.1,manual conflict resolution
28,HQ241657.1,manual conflict resolution
29,JF508729.1,manual conflict resolution
39,KJ773784.1,manual conflict resolution
6,JF508818.1,manual conflict resolution
9,ON908408.1,manual conflict resolution
14,JF508658.1,manual conflict resolution
17,HQ241712.1,manual conflict resolution
28,HQ241658.1,manual conflict resolution
